name,cnpj,isin,assetCode,fundBegin,currency,isEsg,manager,administrator,custody,investmentType,categoryCvm,anbimaRating,benchmark,applyOpen,minimumInitialInvestment,minimumMoviment,minimumBalanceRemain,timeLimit,hourInvestimentRescue,investimentQuota,rescueQuota,rescueFinancialSettlement,investmentFinancialSettlement,administrationFee,administrationFeeMax,performanceFee,profitabilityDay,profitabilityMonth,profitabilityYear,subcategoryInitials,subclassCode,isExternalPensionFund,isPensionFund,fundCGE
AF INVEST GERAES 30 FIRF CrPr,29044189000104,,1695827,2018-03-28T00:00:00.000-0300,BRL,false,AF INVEST ADMINISTRACAO DE RECURSOS LTDA.,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre grau de investimento,CDI,true,500,100,500,15:20,15:20,D+0,D+30,D+31,D+0,0.5,,,0.049009,0.5680864,5.1550986,CREDITO_POS,,false,false,544342
SPX FALCON 2 FICFIA,42902399000146,BR0C4MCTF004,7101412,2022-09-12T00:00:00.000-0300,BRL,false,SPX GESTAO DE RECURSOS LTDA,INTRAG DISTR DE TITULOS EVALORES MOBILIARIOS LTDA,ITAU UNIBANCO S.A.,Investidores qualificados,Ações,Ações Livre,-,false,5000,5000,5000,14:10,14:10,D+1,D+30,D+32,D+0,0.7000000000000001,,20,0.1086077,0.2417071,4.9802924,LONG_BIASED,,false,false,5984148
V8 CASH PLATINUM FIC RF CrPr,42774627000140,,7297788,2022-03-28T00:00:00.000-0300,BRL,false,V8 CAPITAL GESTAO DE INVESTIMENTOS LTDA,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORE,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORE,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre grau de investimento,CDI,true,1,1,1,14:10,14:10,D+0,D+10,D+12,D+0,0.5,,,0.0461819,0.6208065,6.4893928,CREDITO_POS,,false,false,6161246
Arbor Hedge LB II FICFIA,58399352000141,,11795778,2024-12-13T00:00:00.000-0300,BRL,false,ARBOR GESTAO DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Ações,Ações Livre,-,true,0,0,0,14:40,14:40,D+0,D+30,D+32,D+0,1.87,,20,0.1078827,-0.9090749,4.8962806,LONG_BIASED,,false,false,19787051
EMPIRICUS URANIO FIM,40503169000189,BR07HECTF002,4951848,2021-01-29T00:00:00.000-0300,USD,false,EMPIRICUS ASSET MANAGEMENT LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercados Investimento no Exterior,-,true,1000,0.01,0.01,16:10,16:10,D+0,D+5,D+6,D+0,0.25,,0,-0.0296463,-5.7147544,-0.9443763000000001,TEMATICOS,,false,false,2591027
BTG JUROS&MOEDAS FICFIM CrPr ACCESS,09083998000100,,3842220,2021-06-22T00:00:00.000-0300,BRL,false,BTG PACTUAL GESTAO E CONSULTORIA DE INVESTIMENTOS,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Multimercados,Multimercado livre,CDI,true,0,1,0,15:20,15:20,D+0,D+0,D+1,D+0,0.2,,,-0.1299944,0.1430948,4.7368561,ATIVO,,false,false,1178932
SHARP EQUITY VALUE INSTITUCIONAL FIA,17898650000107,BRGEV2CTF003,2567208,2013-07-24T00:00:00.000-0300,BRL,false,SHARP CAPITAL GESTORA DE RECURSOS LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Ações,Ações Livre,-,true,20000,5000,5000,14:10,14:10,D+0,D+30,D+32,D+0,3,,0,-0.44090640000000003,-3.7856157,-9.8289869,LONG_ONLY,,false,false,946205
Sparta Debentures Incentivadas FIIIRF,26759909000111,BRSPB9CTF005,1695284,2017-06-30T00:00:00.000-0300,BRL,false,SPARTA ADMINISTRADORA DE RECURSOS LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,false,1000,100,100,14:10,14:10,D+1,D+30,D+31,D+0,0.8,,0,0.1093747,0.7244882,3.8516626,CREDITO_POS,,false,false,544502
SPX Nimitz FICFIM Access,17408524000119,BRSPN4CTF002,5035188,2013-02-08T00:00:00.000-0300,BRL,false,BTG PACTUAL GESTAO E CONSULTORIA DE INVESTIMENTOS,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Multimercados,Multimercados Macro,CDI,true,5000,5000,5000,14:10,14:10,D+1,D+30,D+31,D+0,0.48,,,0.0470078,0.5212044,1.2767876,,,false,false,2781395
GL INSIGHT FUND DOLAR FICFIA IE,39345935000145,BR08C0CTF006,5087501,2020-12-29T00:00:00.000-0300,USD,false,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores qualificados,Ações,Ações Investimento no Exterior,-,true,5000,5000,5000,15:00,15:00,D+1,D+1,D+9,D+0,1,,,-0.1028416,-7.1854985,-14.7379379,LONG_ONLY,,false,false,2864737
