Prefixo;grupo;codigo_ativo;data_referencia;data_vencimento;percentual_taxa;taxa_compra;taxa_venda;taxa_indicativa;desvio_padrao;val_min_intervalo;val_max_intervalo;pu;percent_pu_par;duration;percent_reune;emissor
consultoria;DI SPREAD;SAPRB1;2026-05-19;2027-01-15;DI + 0,8800%;1.1169;0.667;0.8865;0.17;0.71;1.05;524.659792;99.99;157.0;--;COMPANHIA DE SANEAMENTO DO PARANA - SANEPAR (*) (**)
consultoria;DI SPREAD;SAPRB4;2026-05-19;2030-01-15;DI + 1,0500%;0.8849;0.5907;0.663;0.14;0.52;0.8;1061.286737;101.08;706.0;45%;COMPANHIA DE SANEAMENTO DO PARANA - SANEPAR (*)
consultoria;DI SPREAD;SAPRC1;2026-05-19;2028-04-15;DI + 1,9000%;1.7005;1.4344;1.53;0.11;1.41;1.64;1019.848118;100.61;428.0;35%;COMPANHIA DE SANEAMENTO DO PARANA - SANEPAR (*)
consultoria;IPCA SPREAD;SAVI13;2026-05-19;2031-09-15;IPCA + 5,9548%;8.5817;8.2719;8.4753;0.09;8.38;8.56;629.45796;93.21;746.0;--;SANTA VITÓRIA DO PALMAR ENERGIAS RENOVÁVEIS S.A.
consultoria;IPCA SPREAD;SBSPB6;2026-05-19;2027-07-15;IPCA + 4,6500%;7.9156;7.5027;7.7358;0.05;7.68;7.78;1435.132652;96.83;278.0;35%;CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*) (**)
consultoria;DI SPREAD;SBSPC1;2026-05-19;2034-02-20;DI + 1,3100%;0.8629;0.65;0.7596;0.02;0.73;0.78;1060.224304;102.36;1084.0;--;CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*)
consultoria;DI SPREAD;SBSPD2;2026-05-19;2026-09-10;DI + 0,3000%;0.3345;0.15;0.2502;0.02;0.22;0.27;1026.516569;100.01;80.0;--;CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*) (**)
consultoria;DI SPREAD;SBSPF8;2026-05-19;2028-07-15;DI + 1,6000%;1.1027;0.5491;0.8369;0.19;0.64;1.02;1063.268568;101.08;362.0;--;CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*)
consultoria;IPCA SPREAD;SBSPI8;2026-05-19;2036-02-15;IPCA + 6,2907%;7.829;7.56;7.6834;0.04;7.64;7.72;939.350835;90.97;1813.0;35%;CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*)
consultoria;IPCA SPREAD;SBSPJ8;2026-05-19;2038-02-15;IPCA + 6,3507%;7.7901;7.558;7.6625;0.03;7.62;7.69;933.357994;90.38;2052.0;--;CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*)
consultoria;IPCA SPREAD;SBSPK8;2026-05-19;2041-02-15;IPCA + 6,2467%;7.7046;7.4307;7.6082;0.05;7.55;7.66;918.799438;88.99;2269.0;--;CIA. DE SANEAMENTO BÁSICO DO ESTADO DE SP - SABESP (*)
consultoria;IPCA SPREAD;SMTO14;2026-05-19;2032-01-15;IPCA + 5,9741%;8.7275;8.2313;8.4454;0.21;8.22;8.66;1113.235653;89.63;1188.0;--;SAO MARTINHO S/A
