grupo;codigo_ativo;data_referencia;data_vencimento;percentual_taxa;percent_reune;emissor;taxa_compra;taxa_venda;taxa_indicativa;desvio_padrao;val_min_intervalo;val_max_intervalo;pu;percent_pu_par;duration
DI SPREAD;CSAN23;2026-06-16;2031-08-15;DI + 2,0000%;--;COSAN S.A. (*);2.1367;1.5184;1.7412;0.33;1.40;2.07;1058.903623;100.76;757.0
DI SPREAD;CSANA2;2026-06-16;2029-01-27;DI + 0,6000%;35%;COSAN S.A. (*);2.0363;1.7045;1.8607;0.08;1.78;1.94;1151.636857;96.81;656.0
IPCA SPREAD;CSMGB8;2026-06-16;2030-09-15;IPCA + 7,1000%;--;CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*);9.3629;8.9589;9.1380;0.09;9.04;9.23;1099.392127;96.24;508.0
IPCA SPREAD;CSMGC0;2026-06-16;2035-05-15;IPCA + 8,2100%;35%;CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*);;8.9754;9.0166;0.02;8.99;9.03;1023.341418;96.87;1071.0
DI SPREAD;CSMGD1;2026-06-16;2035-10-15;DI + 0,5200%;--;CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*);1.0885;0.7846;0.9218;0.06;0.85;0.98;1007.640135;98.49;957.0
IPCA SPREAD;CTEE18;2026-06-16;2029-12-15;IPCA + 3,5000%;--;ISA ENERGIA BRASIL S.A.;8.1920;7.9216;7.9791;0.14;7.83;8.12;1310.814232;90.42;595.0
DI SPREAD;CTEE19;2026-06-16;2028-11-15;DI + 2,8300%;--;ISA ENERGIA BRASIL S.A.;0.5000;0.3193;0.4156;0.04;0.36;0.46;1044.506437;103.04;320.0
DI SPREAD;CTNSA2;2026-06-16;2030-02-25;DI + 1,0000%;--;ENERGISA TOCANTINS - DISTRIBUIDORA DE ENERGIA S.A;0.8182;0.5493;0.6568;0.01;0.64;0.67;1054.594299;100.96;714.0
IGP-M;CVRDA6;2026-06-16;2100-01-01;IGP-M;--;VALE S/A;;;;;;;40.262500;;
DI SPREAD;DASAC5;2026-06-16;2031-10-30;DI + 2,0500%;5%;DIAGNÓSTICOS DA AMÉRICA S/A (*);3.2962;2.7224;2.9939;0.05;2.94;3.04;985.116621;96.65;927.0
IPCA SPREAD;ECER12;2026-06-16;2027-09-15;IPCA + 6,3500%;15%;CONCESSIONARIA ECOVIAS DO CERRADO S.A. (*);8.7322;8.4781;8.5891;0.18;8.39;8.77;1320.719343;97.43;314.0
