grupo;codigo_ativo;data_referencia;data_vencimento;percentual_taxa;percent_reune;emissor;taxa_compra;taxa_venda;taxa_indicativa;desvio_padrao;val_min_intervalo;val_max_intervalo;pu;percent_pu_par;duration
DI SPREAD;ANIM15;2026-06-16;2029-05-15;DI + 1,9200%;--;ANIMA HOLDING S/A (*);1.6628;1.2242;1.4573;0.02;1.43;1.47;765.401593;100.75;417.0
DI SPREAD;ASAI19;2026-06-16;2029-03-25;DI + 1,2500%;--;SENDAS DISTRIBUIDORA S/A (*);2.0000;1.6000;1.7856;0.02;1.76;1.80;1022.377314;98.99;484.0
DI SPREAD;ASAI28;2026-06-16;2028-12-22;DI + 1,9500%;--;SENDAS DISTRIBUIDORA S/A (*);2.0350;1.6414;1.8336;0.03;1.79;1.87;1078.528110;100.22;506.0
IPCA SPREAD;ASSR21;2026-06-16;2041-06-15;IPCA + 7,1071%;--;ASSURUA 5 ENERGIA S.A (*);9.3453;8.9992;9.1745;0.13;9.03;9.31;817.725669;87.95;1643.0
DI SPREAD;BRKMA8;2026-06-16;2029-11-09;DI + 1,7000%;--;BRASKEM S/A (*);;;;;;;491.985812;48.46;
DI SPREAD;BRKMB8;2026-06-16;2032-11-09;DI + 1,9500%;--;BRASKEM S/A (*);;;;;;;501.844925;49.42;
IPCA SPREAD;BRKP28;2026-06-16;2034-09-15;IPCA + 5,5365%;5%;BRK AMBIENTAL PARTICIPACOES S/A (*);10.2425;9.7103;9.9655;0.08;9.88;10.04;1155.866455;80.28;1324.0
DI SPREAD;BRKPA3;2026-06-16;2029-08-23;DI + 2,9300%;35%;BRK AMBIENTAL PARTICIPACOES S/A (*);2.9019;2.4827;2.6953;0.08;2.61;2.77;1057.693392;100.56;619.0
DI SPREAD;BRMLB1;2026-06-16;2034-08-20;DI + 0,9500%;50%;BR MALLS PARTICIPAÇÕES S/A (*);0.7727;0.4228;0.5914;0.07;0.51;0.66;1062.794544;101.58;1119.0
IPCA SPREAD;CAJS11;2026-06-16;2040-11-15;IPCA + 5,4000%;--;CONCESSIONARIA AGUAS DE JUTURNAIBA S/A;8.2710;8.0948;8.1481;0.24;7.90;8.39;1037.278366;84.96;1541.0
IPCA SPREAD;CASN24;2026-06-16;2032-04-15;IPCA + 9,9878%;10%;COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*);9.2187;8.8773;9.0279;0.19;8.83;9.22;1100.615542;102.82;803.0
DI SPREAD;CBAN22;2026-06-16;2032-07-15;DI + 2,0000%;5%;CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A (*) (**);0.9219;0.7010;0.8238;0.11;0.71;0.93;925.801115;103.64;783.0
DI SPREAD;CDAR11;2026-06-16;2027-09-27;DI + 2,0000%;--;UNIDAS LOCADORA S.A. (*) (**);1.8099;1.4754;1.6385;0.04;1.59;1.68;1035.872531;100.25;184.0
DI SPREAD;CEAB13;2026-06-16;2027-07-15;DI + 1,8000%;--;C E A MODAS S.A. (*);1.2261;0.8829;1.0408;0.05;0.99;1.09;1072.428641;100.72;244.0
DI SPREAD;CEAB22;2026-06-16;2028-05-13;DI + 2,4000%;--;C E A MODAS S.A.;1.0097;0.6649;0.8271;0.05;0.77;0.87;517.400991;101.99;322.0
IPCA SPREAD;CEAM11;2026-06-16;2045-12-15;IPCA + 7,5232%;--;AMBIENTAL CEARA 2 SPE S.A. (*);10.8817;10.0267;10.5342;0.31;10.21;10.84;82.368588;79.56;1986.0
DI SPREAD;CEAP16;2026-06-16;2029-09-09;DI + 1,2000%;--;COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*) (**);0.8939;0.6530;0.7764;0.02;0.74;0.80;1049.890178;100.94;563.0
DI SPREAD;CEEBB3;2026-06-16;2028-10-15;DI + 1,4900%;--;CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*);1.2805;0.8282;1.0663;0.03;1.02;1.10;1031.606709;100.67;405.0
IPCA SPREAD;CEED15;2026-06-16;2036-05-15;IPCA + 6,5596%;--;COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*);8.3257;8.1270;8.1912;0.11;8.08;8.30;1004.864859;90.63;1616.0
PREFIXADO;CEROA3;2026-06-16;2032-05-15;PREFIXADO + 13,7000%;--;CENTRAIS ELETRICAS DE RONDONIA S/A CERON (*);14.2825;13.7626;14.1749;0.12;14.05;14.29;993.175177;98.26;1058.0
IPCA SPREAD;CEROA4;2026-06-16;2035-10-15;IPCA + 7,2856%;--;CENTRAIS ELETRICAS DE RONDONIA S/A CERON (*);8.1495;7.9638;8.0409;0.05;7.98;8.09;1000.588825;95.32;1710.0
DI SPREAD;CESE22;2026-06-16;2028-09-15;DI + 2,5000%;--;CELSE - CENTRAIS ELETRICAS DE SERGIPE S.A. (*) (**);1.2461;0.5588;0.7723;0.10;0.66;0.87;794.911708;101.88;278.0
DI SPREAD;CGASA3;2026-06-16;2028-05-15;DI + 0,4500%;--;COMPANHIA DE GAS DE SÃO PAULO - COMGAS (*);0.6772;0.3840;0.5260;0.05;0.46;0.58;1010.344060;99.87;431.0
DI SPREAD;CGOS15;2026-06-16;2030-03-20;DI + 1,0500%;5%;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*);0.7945;0.5946;0.7040;0.07;0.62;0.78;1042.149516;100.77;565.0
DI SPREAD;CGOS18;2026-06-16;2030-09-15;DI + 1,0000%;5%;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*);0.7794;0.5576;0.6524;0.05;0.59;0.70;1045.683436;100.88;645.0
DI SPREAD;CGOS19;2026-06-16;2031-11-25;DI + 0,9200%;--;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*);0.8182;0.5486;0.6793;0.06;0.60;0.74;1017.963953;100.92;977.0
IPCA SPREAD;CGOS34;2026-06-16;2035-10-15;IPCA + 6,6789%;--;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*);8.4156;8.2414;8.3364;0.10;8.23;8.43;1048.225188;91.05;1519.0
DI SPREAD;CHSF12;2026-06-16;2029-04-15;DI + 0,8500%;--;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF (*);0.7557;0.3749;0.5744;0.13;0.43;0.71;1030.219545;100.64;591.0
DI SPREAD;CHSF24;2026-06-16;2034-09-15;DI + 1,0500%;--;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF (*);1.0155;0.6049;0.8124;0.05;0.75;0.87;1047.606140;101.06;1130.0
IPCA SPREAD;CJEN13;2026-06-16;2035-12-15;IPCA + 8,1693%;--;TESC-TERMINAL SANTA CATARINA S/A (*);8.3126;8.0819;8.1577;0.30;7.84;8.46;1140.150875;100.04;1066.0
IPCA SPREAD;CLCD26;2026-06-16;2030-11-15;IPCA + 6,5279%;--;CELESC DISTRIBUIÇÃO S/A (*);8.1221;7.7743;7.9458;0.07;7.87;8.01;1097.310071;96.02;771.0
IPCA SPREAD;CLCD27;2026-06-16;2034-07-15;IPCA + 6,9534%;35%;CELESC DISTRIBUIÇÃO S/A (*);7.9443;7.6534;7.7579;0.09;7.66;7.84;1084.441908;96.05;1347.0
IPCA SPREAD;CLTM14;2026-06-16;2042-01-15;IPCA + 7,2500%;--;CONCESSIONARIA DAS LINHAS 8 E 9 DO SISTEMA DE TRENS METROPOLITANOS DE SAO PAULO S.A. (*);9.2557;9.0885;9.1594;0.06;9.09;9.22;1036.063086;90.41;1401.0
DI SPREAD;CMGD18;2026-06-16;2027-06-15;DI + 1,3500%;--;CEMIG DISTRIBUIÇÃO S/A (*) (**);0.9624;0.5932;0.7681;0.09;0.67;0.86;1006.095222;100.55;240.0
DI SPREAD;CMGDA1;2026-06-16;2031-09-15;DI + 0,5500%;--;CEMIG DISTRIBUIÇÃO S/A (*);0.7720;0.6319;0.6791;0.07;0.60;0.75;1030.782852;99.55;868.0
IPCA SPREAD;CMGDB1;2026-06-16;2036-09-15;IPCA + 6,5769%;--;CEMIG DISTRIBUIÇÃO S/A (*);8.0464;7.7978;7.8642;0.15;7.71;8.01;1020.411940;91.75;1789.0
IPCA SPREAD;CMGTB1;2026-06-16;2040-10-15;IPCA + 6,6504%;5%;CEMIG GERAÇÃO E TRANSMISSÃO S/A (*);7.7107;7.4855;7.5774;0.08;7.48;7.66;970.946986;92.61;2209.0
DI SPREAD;COCEA2;2026-06-16;2029-05-15;DI + 1,1000%;--;COMPANHIA ENERGÉTICA DO CEARÁ - COELCE (*);1.2098;0.9000;1.0713;0.03;1.03;1.10;1012.891557;100.06;609.0
IPCA SPREAD;CPFPA5;2026-06-16;2033-10-15;IPCA + 6,1774%;--;COMPANHIA PIRATININGA DE FORÇA E LUZ (*);8.1231;7.8228;7.9226;0.07;7.84;8.00;1055.358517;91.82;1310.0
IPCA SPREAD;CPFPB0;2026-06-16;2035-05-15;IPCA + 6,9249%;--;COMPANHIA PIRATININGA DE FORÇA E LUZ (*);8.1186;7.8252;7.9185;0.10;7.81;8.02;996.926892;94.47;1541.0
DI SPREAD;CPGT29;2026-06-16;2031-10-10;DI + 0,6900%;5%;COPEL GERAÇÃO E TRANSMISSÃO S/A (*);0.9240;0.4481;0.7040;0.06;0.64;0.76;1024.612505;99.95;885.0
IPCA SPREAD;CPGTC0;2026-06-16;2037-02-15;IPCA + 7,4820%;45%;COPEL GERAÇÃO E TRANSMISSÃO S/A (*);8.1883;7.9075;7.9316;0.12;7.80;8.05;1060.320602;97.43;1565.0
IPCA SPREAD;CPLD26;2026-06-16;2031-06-15;IPCA + 4,7742%;--;COPEL DISTRIBUICAO S/A (*);8.2943;8.0758;8.1490;0.08;8.06;8.23;1180.549238;89.12;910.0
DI SPREAD;CPLDB0;2026-06-16;2032-07-15;DI + 0,5800%;--;COPEL DISTRIBUICAO S/A (*);0.9408;0.5947;0.7391;0.04;0.69;0.78;1053.054204;99.39;969.0
DI SPREAD;CSAN24;2026-06-16;2032-05-05;DI + 1,9000%;--;COSAN S.A. (*);2.1549;1.8008;1.9242;0.15;1.76;2.08;1016.966183;99.91;874.0
IPCA SPREAD;CSAN33;2026-06-16;2031-08-15;IPCA + 5,7531%;--;COSAN S.A. (*);10.8165;10.3119;10.6450;0.07;10.57;10.71;1134.612896;84.86;905.0
DI SPREAD;CSMGA7;2026-06-16;2029-12-16;DI + 1,3000%;--;CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*);1.0228;0.6007;0.8124;0.01;0.79;0.83;829.941708;100.77;405.0
IPCA SPREAD;CSNAA6;2026-06-16;2034-11-15;IPCA + 7,5888%;--;COMPANHIA SIDERÚRGICA NACIONAL (*);21.8727;16.5864;19.5486;2.69;16.85;22.24;584.813761;53.63;1373.0
DI SPREAD;CSRNA2;2026-06-16;2031-03-15;DI + 0,9600%;--;COMPANHIA ENERGÉTICA DO R. G. N. - COSERN (*);0.9309;0.6135;0.7983;0.08;0.71;0.88;1041.645837;100.50;795.0
IPCA SPREAD;CSRNB2;2026-06-16;2034-03-15;IPCA + 6,0691%;--;COMPANHIA ENERGÉTICA DO R. G. N. - COSERN (*);8.3178;8.1172;8.1494;0.12;8.02;8.27;1014.620846;89.88;1371.0
IPCA SPREAD;CTGE13;2026-06-16;2029-09-15;IPCA + 5,3455%;--;COMPANHIA DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA DO SUL DO BRASIL ELETROSUL (*) (**);8.3478;8.0121;8.1759;0.13;8.03;8.31;1345.644527;92.42;747.0
IPCA SPREAD;CYAR11;2026-06-16;2045-12-15;IPCA + 7,5232%;--;AMBIENTAL CEARA 1 SPE S.A. (*);10.9916;10.1009;10.5883;0.28;10.30;10.87;81.938771;79.15;1993.0
DI SPREAD;DASAC2;2026-06-16;2030-11-20;DI + 3,4000%;5%;DIAGNÓSTICOS DA AMÉRICA S/A (*);3.2056;2.7311;2.9827;0.04;2.93;3.02;1022.960046;101.07;667.0
IPCA SPREAD;ECRD14;2026-06-16;2047-09-15;IPCA + 8,3939%;35%;ECORIOMINAS CONCESSIONARIA DE RODOVIAS S.A. (*);8.8228;8.5248;8.6320;0.06;8.56;8.69;1072.790983;98.09;2196.0
IPCA SPREAD;EDPT11;2026-06-16;2033-05-15;IPCA + 7,0267%;--;EDP TRANSMISSÃO S.A. (*) (**);8.4939;8.3603;8.4154;0.05;8.36;8.46;808.606007;95.63;864.0
IPCA SPREAD;EEELB1;2026-06-16;2039-04-15;IPCA + 6,1572%;--;CPFL TRANSMISSAO S.A (*);7.7868;7.5248;7.6460;0.11;7.53;7.75;995.122984;89.00;2078.0
IPCA SPREAD;EGIE19;2026-06-16;2026-07-15;IPCA + 3,7000%;--;ENGIE BRASIL ENERGIA S.A.;11.2486;10.4246;10.6941;0.43;10.25;11.13;752.380325;99.45;21.0
IPCA SPREAD;EGIE39;2026-06-16;2026-07-15;IPCA + 3,6000%;--;ENGIE BRASIL ENERGIA S.A.;11.3057;10.7027;10.7868;0.49;10.29;11.27;738.117330;99.44;21.0
PREFIXADO;EGIEA2;2026-06-16;2029-08-15;PREFIXADO + 12,4974%;35%;ENGIE BRASIL ENERGIA S.A. (*);14.1869;12.9590;13.7522;0.26;13.48;14.02;970.947937;97.04;679.0
IPCA SPREAD;EKTRC0;2026-06-16;2031-10-15;IPCA + 5,7697%;--;ELEKTRO REDES S.A. (*);8.4446;8.2045;8.3157;0.10;8.20;8.42;1177.536239;91.33;955.0
DI SPREAD;ELET24;2026-06-16;2028-09-15;DI + 1,5500%;--;CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS (*);1.0160;0.8349;0.8981;0.04;0.84;0.94;1048.139698;100.98;385.0
IPCA SPREAD;ELET42;2026-06-16;2029-05-15;IPCA + 5,1814%;--;CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS;8.5665;8.1714;8.3647;0.24;8.12;8.60;1396.458810;94.76;451.0
IPCA SPREAD;ELPLA7;2026-06-16;2032-04-15;IPCA + 6,1385%;--;ELETROPAULO METROP. ELETRIC. DE S.P. S/A (*);13.8898;11.8503;12.8376;0.97;11.86;13.81;940.730387;77.73;1020.0
IPCA SPREAD;ELTE12;2026-06-16;2039-07-15;IPCA + 6,4232%;--;EMPRESA LITORANEA DE TRANSMISSAO DE ENERGIA S.A. - ELTE (*);7.9239;7.6785;7.7960;0.13;7.66;7.92;959.244692;93.20;1356.0
IPCA SPREAD;ENERB4;2026-06-16;2034-09-15;IPCA + 6,4364%;10%;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.;8.1815;7.8802;8.0226;0.05;7.97;8.07;1009.741695;90.99;1593.0
IPCA SPREAD;ENEV15;2026-06-16;2030-06-15;IPCA + 5,5000%;--;ENEVA S.A.;8.3773;8.0435;8.1637;0.10;8.05;8.27;1341.496512;93.34;693.0
IPCA SPREAD;ENEV19;2026-06-16;2032-09-15;IPCA + 6,9000%;--;ENEVA S.A. (*);8.3205;8.0844;8.1740;0.09;8.08;8.26;1155.662757;94.94;1099.0
IPCA SPREAD;ENEV26;2026-06-16;2035-09-15;IPCA + 4,5034%;--;ENEVA S.A.;8.0228;7.8011;7.8905;0.14;7.74;8.03;1157.856819;80.54;1682.0
IPCA SPREAD;ENEVB0;2026-06-16;2039-04-15;IPCA + 6,6737%;--;ENEVA S.A. (*);7.9435;7.6499;7.7697;0.14;7.62;7.90;1030.736991;91.97;2041.0
IPCA SPREAD;ENGI39;2026-06-16;2027-10-15;IPCA + 5,1074%;--;ENERGISA S/A;8.4787;8.3041;8.3628;0.18;8.18;8.54;1558.483121;96.16;322.0
IPCA SPREAD;ENGIA4;2026-06-16;2027-10-15;IPCA + 4,2297%;--;ENERGISA S/A;8.4807;8.2961;8.3730;0.17;8.19;8.54;1351.958853;95.06;327.0
DI SPREAD;ENGIA7;2026-06-16;2027-10-20;DI + 1,5000%;--;ENERGISA S/A;0.5173;0.3343;0.4587;0.07;0.38;0.53;1031.263174;100.82;200.0
IPCA SPREAD;ENGIB4;2026-06-16;2030-10-15;IPCA + 4,4744%;--;ENERGISA S/A;8.3263;8.0742;8.2167;0.09;8.12;8.30;1277.126303;89.76;768.0
IPCA SPREAD;ENMTB3;2026-06-16;2030-10-15;IPCA + 4,4744%;--;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;8.3719;8.0837;8.2073;0.13;8.07;8.34;1277.464688;89.79;768.0
IPCA SPREAD;ENSEB5;2026-06-16;2041-02-15;IPCA + 6,5500%;--;ENERGISA SERGIPE - DIST.DE ENERGIA S/A (*);7.9272;7.6861;7.7930;0.07;7.71;7.87;937.723700;90.13;2221.0
IPCA SPREAD;EQTR11;2026-06-16;2039-04-15;IPCA + 4,8500%;--;EQUATORIAL TRANSMISSORA 8 SPE S.A.;8.3565;8.2333;8.2548;0.07;8.17;8.33;1145.143784;81.53;1548.0
DI SPREAD;ERDVA6;2026-06-16;2031-07-15;DI + 1,2000%;40%;ECORODOVIAS CONCESSÕES E SERVIÇOS S/A (*);1.0263;0.7978;0.8688;0.07;0.79;0.94;1072.484343;100.97;747.0
IPCA SPREAD;ESAM14;2026-06-16;2033-06-15;IPCA + 7,3129%;--;EMPRESA DE ENERGIA SÃO MANOEL S/A;8.3534;8.1520;8.2550;0.12;8.12;8.38;743.667939;97.16;823.0
DI SPREAD;ESCEA6;2026-06-16;2030-06-11;DI + 0,5000%;--;EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA SA (*);0.7811;0.4140;0.6198;0.06;0.55;0.68;998.299965;99.66;711.0
IPCA SPREAD;EXTZ11;2026-06-16;2029-01-15;IPCA + 7,0291%;--;EXTREMOZ TRANSMISSORA DO NORDESTE ETN S.A. (*) (**);8.1814;7.7345;7.8403;0.25;7.58;8.09;592.991730;98.83;388.0
DI SPREAD;FENS12;2026-06-16;2031-03-22;DI + 0,7500%;--;FERROVIA NORTE SUL S/A (*);0.7158;0.5056;0.6053;0.04;0.55;0.65;1026.274201;100.50;882.0
IPCA SPREAD;FEPS11;2026-06-16;2040-01-15;IPCA + 8,6895%;--;FARO ENERGY PROJ. SOL. HOL. IV S.A (*);9.2403;8.9570;9.0804;0.11;8.96;9.20;1092.439130;98.25;1229.0
IPCA SPREAD;GASC15;2026-06-16;2034-03-15;IPCA + 5,7970%;--;RUMO MALHA PAULISTA S/A (*) (**);9.1971;8.8253;8.8796;0.26;8.61;9.14;945.751732;83.75;1534.0
IPCA SPREAD;GASC23;2026-06-16;2033-10-15;IPCA + 5,7283%;--;RUMO MALHA PAULISTA S/A (*);9.1474;8.6838;8.8600;0.12;8.73;8.98;1086.736497;84.03;1483.0
IPCA SPREAD;GASC25;2026-06-16;2039-03-15;IPCA + 5,9284%;10%;RUMO MALHA PAULISTA S/A (*) (**);8.8675;8.3641;8.5418;0.12;8.41;8.66;922.931908;81.70;2036.0
DI SPREAD;GRRB16;2026-06-16;2029-08-12;DI + 0,9500%;--;AGUAS GUARIROBA S/A (*);4.0411;0.5000;2.3741;0.18;2.19;2.55;1012.663107;96.56;626.0
DI SPREAD;GUAR17;2026-06-16;2028-10-15;DI + 0,9500%;15%;GUARARAPES CONFECCOES S/A (*);1.1088;0.8492;0.9683;0.03;0.93;1.00;1023.491723;99.97;407.0
DI PERCENTUAL;HAPV21;2026-06-16;2026-07-10;110,5500% do DI;--;HAPVIDA PARTICIPACOES E INVESTIMENTOS S/A (*) (**);;;131.8556;1.89;129.95;133.75;531.499127;99.79;18.0
IPCA SPREAD;HGLB23;2026-06-16;2034-10-15;IPCA + 9,1196%;--;HIGHLINE DO BRASIL II INFRAESTRUTURA DE TELECOMUNICACOES S.A (*);10.9445;10.5300;10.7454;0.21;10.52;10.96;1032.294341;93.60;1115.0
DI SPREAD;HYPEA8;2026-06-16;2029-05-03;DI + 0,8500%;--;HYPERA S/A (*);0.9546;0.6301;0.7613;0.09;0.66;0.85;1018.990361;100.17;512.0
DI SPREAD;IOCHA4;2026-06-16;2028-10-10;DI + 1,3500%;10%;IOCHPE-MAXION S/A (*) (**);1.5432;1.1442;1.3097;0.12;1.18;1.43;1026.936115;100.06;403.0
IPCA SPREAD;ISAEC2;2026-06-16;2041-03-15;IPCA + 6,4618%;--;ISA ENERGIA BRASIL S.A. (*);7.5434;7.3142;7.4283;0.10;7.32;7.53;943.891373;91.77;2363.0
DI SPREAD;ITSA18;2026-06-16;2035-09-12;DI + 0,6000%;--;ITAUSA S/A (*);0.6724;0.4678;0.5540;0.08;0.46;0.64;1115.576962;100.20;1140.0
IPCA SPREAD;JALL11;2026-06-16;2028-12-15;IPCA + 5,5923%;35%;JALLES MACHADO S.A.;8.9814;8.6456;8.7185;0.07;8.64;8.79;1168.849203;93.35;592.0
DI SPREAD;JHSFA1;2026-06-16;2027-01-21;DI + 2,7500%;--;JHSF PARTICIPAÇÕES S/A;0.9061;0.4718;0.6741;0.31;0.36;0.98;343.721039;100.69;85.0
DI SPREAD;JSLGA5;2026-06-16;2028-10-20;DI + 2,7000%;--;JSL S/A (*);3.2935;2.3187;2.8983;0.06;2.83;2.96;1022.319723;99.77;299.0
IPCA SPREAD;JSMLB5;2026-06-16;2031-09-15;IPCA + 7,9677%;--;SIMPAR S.A. (*);15.4287;;14.7210;0.64;14.07;15.36;1079.434994;80.69;876.0
IPCA SPREAD;LGEN11;2026-06-16;2029-03-15;IPCA + 7,3287%;--;LAGOA 1 ENERGIA RENOVAVEL S.A.;8.3255;;8.2525;0.17;8.07;8.43;800.226051;99.00;292.0
IPCA SPREAD;LIGHD3;2026-06-16;2037-11-13;IPCA + 3,0000%;--;LIGHT SERVIÇOS DE ELETRICIDADE S/A (*) (**);;;;;;;;;
DI SPREAD;LMTP26;2026-06-16;2027-09-25;DI + 1,7000%;--;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIOS S.A. (*) (**);1.7344;1.3614;1.5472;0.11;1.43;1.65;1035.631108;100.17;295.0
DI SPREAD;MATD13;2026-06-16;2032-07-18;DI + 1,1000%;--;HOSPITAL MATER DEI S.A. (*);0.9403;0.5986;0.7902;0.06;0.72;0.85;1072.638725;101.15;941.0
DI SPREAD;MNRVA1;2026-06-16;2026-10-15;DI + 1,6000%;--;MINERVA S/A (*) (**);1.8153;1.5659;1.6653;0.06;1.59;1.73;1024.639205;99.97;85.0
IPCA SPREAD;MOVI18;2026-06-16;2029-06-15;IPCA + 8,0525%;--;MOVIDA PARTICIPACOES S/A (*);;;13.4900;0.13;13.35;13.62;1040.393051;87.59;677.0
DI SPREAD;MOVI27;2026-06-16;2029-09-15;DI + 2,9000%;--;MOVIDA PARTICIPACOES S/A (*) (**);3.6717;2.9757;3.3301;0.12;3.20;3.45;1033.278421;99.23;464.0
IPCA SPREAD;MOVI37;2026-06-16;2031-09-15;IPCA + 7,6366%;--;MOVIDA PARTICIPACOES S/A (*);;;14.0764;0.55;13.52;14.62;1074.862147;81.30;883.0
IPCA SPREAD;MRSAC1;2026-06-16;2038-09-15;IPCA + 6,4496%;--;MRS LOGÍSTICA S/A (*);7.7152;7.4176;7.5660;0.05;7.50;7.62;1065.785671;92.03;1985.0
IPCA SPREAD;MSGT12;2026-06-16;2030-11-15;IPCA + 4,9500%;--;MATA DE SANTA GENEBRA TRANSMISSÃO S/A;8.5550;8.1873;8.3692;0.15;8.21;8.52;803.368172;93.29;539.0
IPCA SPREAD;MVLV16;2026-06-16;2028-06-15;IPCA + 7,1702%;--;MOVIDA PARTICIPACOES S/A (*);;;;;;;;;
IPCA SPREAD;MVLV26;2026-06-16;2028-06-15;IPCA + 7,2413%;--;MOVIDA PARTICIPACOES S/A (*);;;13.3924;0.19;13.19;13.58;1197.727402;88.93;477.0
DI SPREAD;NIGP12;2026-06-16;2032-03-24;DI + 1,9000%;--;NOVA TRANSPORTE DO SUDESTE S.A. - NTS (*);1.2112;0.8453;1.0277;0.04;0.98;1.07;1065.343059;102.94;853.0
DI SPREAD;NTSD26;2026-06-16;2031-02-15;DI + 1,4000%;--;NOVA TRANSPORTE DO SUDESTE S.A. - NTS (*);1.0141;0.7000;0.8744;0.05;0.81;0.93;1065.703204;101.60;772.0
DI SPREAD;OVSAB0;2026-06-16;2028-05-16;DI + 2,3000%;--;UNIDAS LOCACOES E SERVICOS S.A. (*);2.5000;1.8887;2.1913;0.07;2.11;2.26;1014.383826;100.18;426.0
IPCA SPREAD;PETR26;2026-06-16;2029-01-15;IPCA + 4,2186%;5%;PETRÓLEO BRASILEIRO S/A - PETROBRAS (*) (**);7.8145;7.4833;7.6371;0.11;7.52;7.75;1405.326435;92.50;607.0
DI SPREAD;PFOR16;2026-06-16;2030-07-15;DI + 1,4500%;35%;PRIO FORTE S.A (*);1.5290;1.2779;1.3690;0.04;1.32;1.41;1065.464316;100.21;676.0
DI SPREAD;PGMN26;2026-06-16;2028-11-05;DI + 2,2000%;--;EMPREENDIMENTOS PAGUE MENOS S/A (*);1.8439;1.3547;1.6215;0.06;1.55;1.68;1027.761735;100.94;417.0
DI SPREAD;QUAL17;2026-06-16;2028-03-15;DI + 3,5000%;--;QUALICORP S/A (*) (**);4.0176;3.3756;3.7403;0.13;3.60;3.87;693.716120;99.79;226.0
DI SPREAD;RADLA0;2026-06-16;2032-04-15;DI + 0,6000%;10%;RAIA DROGASIL S/A (*);0.7580;0.3694;0.5581;0.03;0.52;0.58;1024.825210;100.15;952.0
DI SPREAD;RADLA1;2026-06-16;2032-11-10;DI + 0,4400%;10%;RAIA DROGASIL S/A (*);0.7634;0.4161;0.5781;0.07;0.50;0.65;1008.189298;99.43;1031.0
IPCA SPREAD;RATL11;2026-06-16;2036-12-15;IPCA + 7,1717%;--;CONCESSIONARIA ROTA DO ATLANTICO S.A (*);8.2104;7.8529;8.0282;0.13;7.88;8.16;1140.995214;95.77;1357.0
DI SPREAD;RDORH6;2026-06-16;2035-08-20;DI + 1,1500%;35%;REDE DOR SÃO LUIZ S/A (*);1.3290;1.0545;1.1370;0.07;1.06;1.21;1047.449114;100.06;1189.0
DI SPREAD;RENTD9;2026-06-16;2030-04-16;DI + 1,8500%;--;LOCALIZA RENT A CAR (*);1.4391;1.0621;1.2524;0.02;1.22;1.28;1042.463874;101.73;739.0
DI SPREAD;RENTE4;2026-06-16;2032-08-01;DI + 1,3000%;--;LOCALIZA RENT A CAR (*);1.3680;1.0734;1.2120;0.06;1.14;1.27;1058.111781;100.30;883.0
DI SPREAD;RENTF2;2026-06-16;2032-05-20;DI + 1,4000%;--;LOCALIZA RENT A CAR (*);1.4104;1.0823;1.2437;0.06;1.17;1.31;1016.979925;100.62;1019.0
IPCA SPREAD;RESA14;2026-06-16;2029-11-15;IPCA + 3,5390%;--;RAIZEN ENERGIA S/A;;;;;;;709.800029;49.31;
IPCA SPREAD;RESA27;2026-06-16;2032-03-15;IPCA + 5,9645%;--;RAIZEN ENERGIA S/A (*) (**);;;;;;;602.228730;48.04;
IPCA SPREAD;RIGEA1;2026-06-16;2031-05-15;IPCA + 4,3000%;--;RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*) (**);;;;;;;;;
IPCA SPREAD;RISP22;2026-06-16;2042-01-15;IPCA + 7,2000%;--;SPE SANEAMENTO RIO 1 S.A (*);11.8963;10.8442;11.3214;0.23;11.08;11.55;8.790098;74.55;1856.0
DI SPREAD;RNDNA1;2026-06-16;2031-05-17;DI + 1,1700%;--;RANDON S.A. IMPLEMENTOS E PARTICIPACOES (*);2.2057;1.8346;2.0325;0.05;1.97;2.08;981.473918;97.01;896.0
DI SPREAD;RNDNA2;2026-06-16;2030-07-25;DI + 0,8500%;--;RANDON S.A. IMPLEMENTOS E PARTICIPACOES (*);3.0018;1.7165;1.9655;0.07;1.89;2.03;1021.767767;96.73;758.0
