Prefixo;name,cnpj,isin,assetCode,fundBegin,currency,isEsg,manager,administrator,custody,investmentType,categoryCvm,anbimaRating,benchmark,applyOpen,minimumInitialInvestment,minimumMoviment,minimumBalanceRemain,timeLimit,hourInvestimentRescue,investimentQuota,rescueQuota,rescueFinancialSettlement,investmentFinancialSettlement,administrationFee,administrationFeeMax,performanceFee,profitabilityDay,profitabilityMonth,profitabilityYear,subcategoryInitials,subclassCode,isExternalPensionFund,isPensionFund
consultoria;SAFARI FICFIM II,23960625000109,BRSFD4CTF006,1694857,2016-04-29T00:00:00.000-0300,BRL,false,SAFARI CAPITAL GESTAO DE RECURSOS LTDA.,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BNY MELLON BANCO SA,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,true,5000,1000,5000,13:40,13:40,D+0,D+27,D+29,D+0,1.8,,20,-1.4542068000000001,-8.1035516,-3.7427543,LONG_BIASED,,false,false
consultoria;NORD MELHORES FUNDOS FOF MM FC FIM CrPr,45123847000100,BR0BJHCTF009,5656241,2022-03-21T00:00:00.000-0300,BRL,false,NORD GESTORA DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,true,0,1,0,15:20,15:20,D+1,D+30,D+32,D+0,0.5,,10,-0.1232279,0.0501829,3.4188804,,,false,false
consultoria;PIMCO INCOME DOLAR FICFIM IE LP RL,32225478000106,,1834602,2019-02-27T00:00:00.000-0300,USD,false,PIMCO LATIN AMERICA ADM DE CARTEIRAS LTDA,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Multimercados,Multimercados Investimento no Exterior,CDI,true,5000,1000,1000,14:10,14:10,D+1,D+1,D+6,D+0,0.93,,,0.3833397,0.0838681,-9.2931272,CREDITO_POS,,false,false
consultoria;SULAMERICA PREMIUM PLUS FIRF REF DI CrPr,47715703000160,,8483557,2023-06-09T00:00:00.000-0300,BRL,false,SUL AMERICA INVESTIMENTOS GESTORA DE RECURSOS S.A.,SUL AMERICA INVESTIMENTOS DISTRIBUIDORA DE TITULOS,BANCO BRADESCO S.A.,Investidores em geral (Não qualificados),Renda Fixa,RF duração baixa grau de investimento,CDI,true,1000,1000,1000,14:10,14:10,D+0,D+0,D+1,D+0,0.3,,,0.0546294,0.6500044,5.2171712,CREDITO_POS,,false,false
consultoria;Tenax Ações Master Subclasse I,45127383000100,,5546266,2022-02-25T00:00:00.000-0300,BRL,false,TENAX CAPITAL LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Ações,Ações Livre,IBOVESPA,true,0,0,0,14:40,14:40,D+1,D+28,D+30,D+0,1.9000000000000001,,20,-1.3361135,-5.0349446,-1.8337754,LONG_ONLY,QYPQW1759249899,false,false
consultoria;COMPASS CREDIT SELEC FICFIRF CrPr LP,35408329000170,,2561279,2019-12-27T00:00:00.000-0300,BRL,false,VINCI CG GESTORA DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,500,500,0,14:10,14:10,D+0,D+0,D+1,D+0,0.5,,,0.0827262,0.790316,5.1718204,CREDITO_POS,,false,false
consultoria;ATENA TAPYR FICFIRF CrPr,17627210000107,,2740890,2013-07-05T00:00:00.000-0300,BRL,false,ATENA CAPITAL GESTAO DE RECURSOS LTDA,BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre grau de investimento,CDI,true,1000,1000,1000,15:20,15:20,D+0,D+0,D+1,D+0,0.5,,15,0.0616699,0.6723997,5.3174601,CREDITO_POS,,false,false
consultoria;AUGME FIRF INCENT EM INFRA,49598896000141,,9019398,2023-03-02T00:00:00.000-0300,BRL,false,AUGME CAPITAL GESTAO DE RECURSOS LTDA.,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORE,S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORE,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre crédito livre,CDI,true,500,500,500,14:10,14:10,D+0,D+30,D+31,D+0,0.75,,20,-0.28997,-0.4152308,2.2279524,INFLACAO,,false,false
consultoria;Empiricus Essential Crypto FIM,57075941000101,,10992818,2024-08-30T00:00:00.000-0300,BRL,false,EMPIRICUS ASSET MANAGEMENT LTDA,BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM,BANCO BTG PACTUAL S A,Investidores em geral (Não qualificados),Multimercados,Multimercado livre,CDI,true,1000,100,1000,15:20,15:20,D+0,D+3,D+5,D+0,1.5,,20,0.5155267,1.3634245,-19.9642895,CRIPTOATIVO,,false,false
consultoria;IRIDIUM APOLLO FIRF CrPr LP,26978438000132,BRIRD2CTF008,1698914,2017-11-08T00:00:00.000-0300,BRL,false,IRIDIUM GESTAO DE RECURSOS LTDA.,BNY MELLON SERVICOS FINANCEIROS DTVM S/A,BNY MELLON BANCO S.A,Investidores em geral (Não qualificados),Renda Fixa,RF duração livre grau de investimento,CDI,true,100,1,100,14:10,14:10,D+0,D+0,D+1,D+0,0.4,,10,0.0494568,0.7676141,4.71362,CREDITO_POS,,false,false
